Mxenes,deltaG_H
ScMoBF2-2,2.2757265
ScMoBF2-3,2.2624546
ScNbCF2-1,2.0961895
ScNbCF2-2,2.1359052
ScNbCF2-3,2.2595475
ScNbNCl2-1,2.393925
ScNbNCl2-2,2.2455021
ScNbNCl2-3,2.2873756
ScNbNO2-1,0.6047746
ScNbNO2-2,2.063516
ScNbNO2-3,2.074351
ScNbNS2-1,-0.5117626
ScNbNS2-2,0.051364
ScNbNS2-3,0.0309832
ScNbNX-1,-1.4206818
ScNbNX-2,0.3071539
ScNbNX-3,-0.6970394
ScScBCl2-1,2.3291998
ScScBCl2-2,2.2761639
ScScBCl2-3,2.34404
ScScBO2-1,-0.7853906
ScScBO2-2,2.2022017
ScScBO2-3,2.2457008
ScScBS2-1,-0.2127292
ScScBS2-2,0.2662173
ScScBS2-3,0.2021997
ScScBX-1,-1.11258259
ScScBX-2,1.03600332
ScScBX-3,-0.79225921
ScScCCl2-1,2.4217454
ScScCCl2-2,2.2711808
ScScCCl2-3,2.3587229
ScScCO2-1,-1.0928333
ScScCO2-2,2.1917614
ScScCO2-3,2.1774791
ScScCS2-1,-0.69135273
ScScCS2-2,-0.08898493
ScScCS2-3,-0.17933353
ScScCX-1,1.21983338
ScScCX-2,-0.01627802
ScScCX-3,-1.34016391
ScScNF2-1,2.4157638
ScScNF2-2,2.3398375
ScScNF2-3,2.294935
ScTiBCl2-1,2.2757662
ScTiBCl2-2,2.2838801
ScTiBCl2-3,2.3087817
ScTiBO2-1,-0.3695332
ScTiBO2-2,2.2234287
ScTiBO2-3,2.2991308
ScTiBS2-1,-0.31907068
ScTiBS2-2,0.26992272
ScTiBS2-3,0.14306342
ScTiBX-1,-1.11730852
ScTiBX-2,0.38437633
ScTiBX-3,-0.99350212
ScTiCCl2-1,2.3145069
ScTiCCl2-2,2.2796098
ScTiCCl2-3,2.3343107
ScTiCO2-1,-1.1850528
ScTiCO2-2,2.2651759
ScTiCO2-3,2.1211474
ScTiCS2-1,-0.56763205
ScTiCS2-2,0.02463845
ScTiCS2-3,-0.10310565
ScTiCX-1,-1.49401738
ScTiCX-2,0.33185329
ScTiCX-3,-1.33090668
ScVBF2-1,2.3249023
ScVBF2-2,2.2375837
ScVBF2-3,2.3890601
ScVCF2-1,2.3063512
ScVCF2-2,2.3016204
ScVCF2-3,2.3022404
ScVNF2-1,2.4359904
ScVNF2-2,2.2992179
ScVNF2-3,2.2919993
ScZrBCl2-1,2.3123436
ScZrBCl2-2,2.2937899
ScZrBCl2-3,2.3505687
ScZrBO2-1,-0.4719227
ScZrBO2-2,2.2706285
ScZrBO2-3,2.3175816
ScZrBS2-1,-0.29546197
ScZrBS2-2,0.33175613
ScZrBS2-3,0.19268883
ScZrBX-1,-1.02912067
ScZrBX-2,0.41542805
ScZrBX-3,-0.89838556
TiCrBF2-1,2.1898144
TiCrBF2-2,2.2027977
TiCrBF2-3,2.2768385
TiCrNF2-1,2.182526
TiCrNF2-2,2.3336385
TiCrNF2-3,2.2846333
TiHfBF2-1,2.4620436
TiHfBF2-2,2.3431583
TiHfBF2-3,2.2653942
TiMnBCl2-1,0.3694156
TiMnBCl2-2,0.2804518
TiMnBCl2-3,0.2720909
TiMnBO2-1,0.0031859
TiMnBO2-2,1.7428862
TiMnBO2-3,2.2446302
TiMnBS2-1,-0.06101885
TiMnBS2-2,0.65249465
TiMnBS2-3,-0.15538925
TiMnBX-1,-1.25985464
TiMnBX-2,-0.12756837
TiMnBX-3,-1.08373663
TiMoCCl2-1,2.0016629
TiMoCCl2-2,2.3448184
TiMoCCl2-3,2.3262563
TiMoCO2-1,-1.0382067
TiMoCO2-2,1.2161378
TiMoCO2-3,2.2879735
TiMoCS2-1,-1.19683592
TiMoCS2-2,-0.47387402
TiMoCS2-3,0.36904328
TiMoCX-1,-1.3081246
TiMoCX-2,0.0536613
TiMoCX-3,-0.9627403
TiMoNCl2-1,2.1379742
TiMoNCl2-2,2.2597156
TiMoNCl2-3,2.3501153
TiMoNO2-1,-0.9907632
TiMoNO2-2,0.61108
TiMoNO2-3,1.3278604
TiMoNS2-1,-1.0936336
TiMoNS2-2,-0.533127
TiMoNS2-3,-0.0049571
TiMoNX-1,-1.2713087
TiMoNX-2,-0.0268126
TiMoNX-3,-0.9576344
